run.order,std.order,x1,x2,x3,Block,Sulfuric_Acid_M,Urea_g,Citric_Acid_g,Max Emission Wavelength Ex @ 400nm,Conductivity (Microsiemens per centimeter),Biofilm Inhibition (%)
1,1,-1,-1,-1,1,0.084529959,0.1267949385,0.1267949385,403.1,1768,-6.85976
2,2,1,-1,-1,1,0.315470041,0.1267949385,0.1267949385,483.1,3917,-15.0915
3,3,-1,1,-1,1,0.084529959,0.4732050615,0.1267949385,506.7,667,-14.0244
4,4,1,1,-1,1,0.315470041,0.4732050615,0.1267949385,401.1,2645,-8.84146
5,5,-1,-1,1,1,0.084529959,0.1267949385,0.4732050615,401.1,971,-17.9878
6,6,1,-1,1,1,0.315470041,0.1267949385,0.4732050615,403.1,3943,-13.4146
7,7,-1,1,1,1,0.084529959,0.4732050615,0.4732050615,544.8,424,-12.1951
8,8,1,1,1,1,0.315470041,0.4732050615,0.4732050615,401.8,1845,-7.16463
9,9,0,0,0,1,0.2,0.3,0.3,401.8,1779,1.219512
10,10,0,0,0,1,0.2,0.3,0.3,401.8,1469,12.5
11,11,0,0,0,1,0.2,0.3,0.3,401.8,1663,12.5
1,1,-1.73205,0,0,2,0.00000011548595,0.3,0.3,539.4,130,20.73171
2,2,1.732051,0,0,2,0.4,0.3,0.3,403.7,3944,-13.2622
3,3,0,-1.73205,0,2,0.2,0.0000001732050626,0.3,405,3915,19.05488
4,4,0,1.732051,0,2,0.2,0.6,0.3,521,660,7.317073
5,5,0,0,-1.73205,2,0.2,0.3,0.0000001732050626,405,3933,-2.13415
6,6,0,0,1.732051,2,0.2,0.3,0.6,405,1066,15.70122
7,7,0,0,0,2,0.2,0.3,0.3,403.7,1420,-5.64024
8,8,0,0,0,2,0.2,0.3,0.3,403.1,,-1.82927
9,9,0,0,0,2,0.2,0.3,0.3,404.4,,8.079268
